,count,count_no_rt
2016-01-18,178.0,77.0
2016-01-19,61.0,31.0
2016-01-20,55.0,34.0
2016-01-21,70.0,22.0
2016-01-22,66.0,32.0
2016-01-23,157.0,24.0
2016-01-24,53.0,16.0
2016-01-25,49.0,20.0
2016-01-26,41.0,13.0
2016-01-27,168.0,30.0
2016-01-28,92.0,16.0
2016-01-29,46.0,12.0
2016-01-30,42.0,15.0
2016-01-31,87.0,13.0
2016-02-01,49.0,12.0
2016-02-02,25.0,12.0
2016-02-03,31.0,17.0
2016-02-04,37.0,28.0
2016-02-05,70.0,28.0
2016-02-06,93.0,30.0
2016-02-07,75.0,35.0
2016-02-08,104.0,46.0
2016-02-09,95.0,43.0
2016-02-10,87.0,40.0
2016-02-11,84.0,49.0
2016-02-12,114.0,59.0
2016-02-13,136.0,47.0
2016-02-14,48.0,21.0
2016-02-15,173.0,39.0
2016-02-16,61.0,30.0
2016-02-17,103.0,56.0
2016-02-18,79.0,31.0
2016-02-19,111.0,64.0
2016-02-20,57.0,28.0
2016-02-21,57.0,28.0
2016-02-22,186.0,32.0
2016-02-23,83.0,37.0
2016-02-24,101.0,51.0
2016-02-25,152.0,79.0
2016-02-26,126.0,66.0
2016-02-27,85.0,31.0
2016-02-28,162.0,55.0
2016-02-29,184.0,80.0
2016-03-01,138.0,43.0
2016-03-02,71.0,32.0
2016-03-03,218.0,38.0
2016-03-04,222.0,34.0
2016-03-05,150.0,26.0
2016-03-06,161.0,46.0
2016-03-07,613.0,10.0
2016-03-08,167.0,29.0
2016-03-09,103.0,34.0
2016-03-10,149.0,29.0
2016-03-11,108.0,43.0
2016-03-12,144.0,39.0
2016-03-13,112.0,35.0
2016-03-14,95.0,57.0
2016-03-15,84.0,31.0
2016-03-16,136.0,48.0
2016-03-17,68.0,25.0
2016-03-18,91.0,37.0
2016-03-19,201.0,40.0
2016-03-20,82.0,26.0
2016-03-21,88.0,23.0
2016-03-22,86.0,33.0
2016-03-23,43.0,18.0
2016-03-24,54.0,21.0
2016-03-25,69.0,26.0
2016-03-26,46.0,10.0
2016-03-27,64.0,14.0
2016-03-28,78.0,20.0
2016-03-29,54.0,25.0
2016-03-30,51.0,22.0
2016-03-31,68.0,28.0
2016-04-01,42.0,20.0
2016-04-02,34.0,24.0
2016-04-03,37.0,9.0
2016-04-04,46.0,18.0
2016-04-05,68.0,27.0
2016-04-06,44.0,16.0
2016-04-07,44.0,23.0
2016-04-08,75.0,19.0
2016-04-09,60.0,19.0
2016-04-10,40.0,15.0
2016-04-11,47.0,14.0
2016-04-12,62.0,21.0
2016-04-13,78.0,13.0
2016-04-14,62.0,16.0
2016-04-15,32.0,10.0
2016-04-16,46.0,23.0
2016-04-17,26.0,8.0
2016-04-18,24.0,15.0
2016-04-19,33.0,10.0
2016-04-20,26.0,9.0
2016-04-21,47.0,15.0
2016-04-22,23.0,12.0
2016-04-23,51.0,25.0
2016-04-24,40.0,19.0
2016-04-25,37.0,16.0
2016-04-26,78.0,18.0
2016-04-27,32.0,14.0
2016-04-28,39.0,10.0
2016-04-29,28.0,14.0
2016-04-30,47.0,10.0
2016-05-01,33.0,14.0
2016-05-02,35.0,12.0
2016-05-03,26.0,13.0
2016-05-04,49.0,13.0
2016-05-05,35.0,13.0
2016-05-06,32.0,9.0
2016-05-07,84.0,19.0
2016-05-08,45.0,16.0
2016-05-09,41.0,11.0
2016-05-10,101.0,8.0
2016-05-11,30.0,16.0
2016-05-12,38.0,17.0
2016-05-13,29.0,12.0
2016-05-14,50.0,15.0
2016-05-15,46.0,13.0
2016-05-16,46.0,20.0
2016-05-17,47.0,13.0
2016-05-18,69.0,12.0
2016-05-19,97.0,15.0
2016-05-20,131.0,14.0
2016-05-21,103.0,23.0
2016-05-22,36.0,9.0
2016-05-23,153.0,29.0
2016-05-24,51.0,15.0
2016-05-25,72.0,25.0
2016-05-26,43.0,16.0
2016-05-27,37.0,20.0
2016-05-28,38.0,10.0
2016-05-29,11.0,5.0
2016-05-30,24.0,13.0
2016-05-31,19.0,6.0
2016-06-01,49.0,17.0
2016-06-02,146.0,8.0
2016-06-03,121.0,10.0
2016-06-04,50.0,16.0
2016-06-05,20.0,12.0
2016-06-06,29.0,11.0
2016-06-07,34.0,10.0
2016-06-08,31.0,14.0
2016-06-09,33.0,14.0
2016-06-10,26.0,14.0
2016-06-11,26.0,7.0
2016-06-12,179.0,81.0
2016-06-13,100.0,32.0
2016-06-14,76.0,48.0
2016-06-15,136.0,28.0
2016-06-16,55.0,28.0
2016-06-17,46.0,16.0
2016-06-18,36.0,17.0
2016-06-19,20.0,12.0
2016-06-20,28.0,8.0
2016-06-21,41.0,29.0
2016-06-22,38.0,19.0
2016-06-23,49.0,26.0
2016-06-24,36.0,18.0
2016-06-25,28.0,4.0
2016-06-26,27.0,15.0
2016-06-27,69.0,37.0
2016-06-28,31.0,19.0
2016-06-29,1317.0,116.0
2016-06-30,118.0,20.0
2016-07-01,55.0,19.0
2016-07-02,202.0,13.0
2016-07-03,85.0,18.0
2016-07-04,69.0,17.0
2016-07-05,94.0,33.0
2016-07-06,7208.0,715.0
2016-07-07,6616.0,1536.0
2016-07-08,12678.0,3389.0
2016-07-09,4189.0,951.0
2016-07-10,2468.0,652.0
2016-07-11,3121.0,825.0
2016-07-12,2813.0,567.0
2016-07-13,2005.0,533.0
2016-07-14,1932.0,431.0
2016-07-15,858.0,285.0
2016-07-16,548.0,166.0
2016-07-17,3397.0,718.0
2016-07-18,1306.0,396.0
2016-07-19,544.0,200.0
2016-07-20,680.0,184.0
2016-07-21,2716.0,344.0
2016-07-22,498.0,139.0
2016-07-23,730.0,78.0
2016-07-24,304.0,81.0
2016-07-25,272.0,98.0
2016-07-26,255.0,79.0
2016-07-27,983.0,115.0
2016-07-28,312.0,88.0
2016-07-29,340.0,85.0
2016-07-30,191.0,65.0
2016-07-31,216.0,89.0
2016-08-01,278.0,116.0
2016-08-02,269.0,120.0
2016-08-03,230.0,71.0
2016-08-04,263.0,89.0
2016-08-05,285.0,112.0
2016-08-06,233.0,62.0
2016-08-07,233.0,85.0
2016-08-08,131.0,61.0
2016-08-09,552.0,89.0
2016-08-10,355.0,62.0
2016-08-11,227.0,78.0
2016-08-12,145.0,49.0
2016-08-13,165.0,45.0
2016-08-14,587.0,90.0
2016-08-15,285.0,82.0
2016-08-16,313.0,44.0
2016-08-17,174.0,66.0
2016-08-18,143.0,63.0
2016-08-19,146.0,67.0
2016-08-20,131.0,67.0
2016-08-21,164.0,77.0
2016-08-22,181.0,73.0
2016-08-23,197.0,34.0
2016-08-24,177.0,41.0
2016-08-25,97.0,33.0
2016-08-26,83.0,31.0
2016-08-27,89.0,41.0
2016-08-28,76.0,37.0
2016-08-29,112.0,41.0
2016-08-30,244.0,81.0
2016-08-31,145.0,58.0
2016-09-01,108.0,38.0
2016-09-02,98.0,33.0
2016-09-03,63.0,22.0
2016-09-04,83.0,26.0
2016-09-05,70.0,30.0
2016-09-06,84.0,42.0
2016-09-07,165.0,41.0
2016-09-08,119.0,33.0
2016-09-09,89.0,36.0
2016-09-10,82.0,36.0
2016-09-11,181.0,64.0
2016-09-12,119.0,48.0
2016-09-13,142.0,30.0
2016-09-14,104.0,50.0
2016-09-15,79.0,29.0
2016-09-16,95.0,34.0
2016-09-17,59.0,25.0
2016-09-18,78.0,31.0
2016-09-19,166.0,71.0
2016-09-20,687.0,138.0
2016-09-21,665.0,154.0
2016-09-22,397.0,133.0
2016-09-23,291.0,123.0
2016-09-24,555.0,68.0
2016-09-25,712.0,66.0
2016-09-26,333.0,108.0
2016-09-27,216.0,91.0
2016-09-28,465.0,92.0
2016-09-29,474.0,73.0
2016-09-30,358.0,62.0
2016-10-01,144.0,49.0
2016-10-02,315.0,54.0
2016-10-03,376.0,73.0
2016-10-04,1544.0,50.0
2016-10-05,953.0,34.0
2016-10-06,420.0,60.0
2016-10-07,397.0,64.0
2016-10-08,236.0,29.0
2016-10-09,163.0,26.0
2016-10-10,166.0,46.0
2016-10-11,131.0,44.0
2016-10-12,142.0,47.0
2016-10-13,156.0,59.0
2016-10-14,86.0,27.0
2016-10-15,82.0,28.0
2016-10-16,88.0,26.0
2016-10-17,83.0,29.0
2016-10-18,79.0,27.0
2016-10-19,66.0,23.0
2016-10-20,77.0,25.0
2016-10-21,66.0,25.0
2016-10-22,54.0,21.0
2016-10-23,57.0,20.0
2016-10-24,68.0,34.0
2016-10-25,77.0,25.0
2016-10-26,88.0,36.0
2016-10-27,194.0,36.0
2016-10-28,77.0,22.0
2016-10-29,51.0,22.0
2016-10-30,40.0,21.0
2016-10-31,44.0,17.0
2016-11-01,72.0,21.0
2016-11-02,256.0,70.0
2016-11-03,120.0,49.0
2016-11-04,139.0,28.0
2016-11-05,84.0,29.0
2016-11-06,98.0,28.0
2016-11-07,102.0,33.0
2016-11-08,87.0,48.0
2016-11-09,124.0,69.0
2016-11-10,108.0,49.0
2016-11-11,53.0,25.0
2016-11-12,56.0,21.0
2016-11-13,89.0,19.0
2016-11-14,68.0,13.0
2016-11-15,60.0,18.0
2016-11-16,82.0,29.0
2016-11-17,119.0,36.0
2016-11-18,82.0,23.0
2016-11-19,53.0,32.0
2016-11-20,95.0,41.0
2016-11-21,101.0,35.0
2016-11-22,92.0,29.0
2016-11-23,62.0,32.0
2016-11-24,92.0,22.0
2016-11-25,85.0,29.0
2016-11-26,105.0,14.0
2016-11-27,112.0,35.0
2016-11-28,64.0,24.0
2016-11-29,57.0,16.0
2016-11-30,125.0,33.0
2016-12-01,113.0,34.0
2016-12-02,67.0,28.0
2016-12-03,49.0,20.0
2016-12-04,50.0,29.0
2016-12-05,85.0,31.0
2016-12-06,47.0,22.0
2016-12-07,32.0,19.0
2016-12-08,7.0,4.0
2016-12-09,67.0,32.0
2016-12-10,49.0,22.0
2016-12-11,26.0,11.0
2016-12-12,26.0,12.0
2016-12-13,38.0,15.0
2016-12-14,42.0,23.0
2016-12-15,77.0,28.0
2016-12-16,95.0,32.0
2016-12-17,32.0,20.0
2016-12-18,52.0,31.0
2016-12-19,45.0,26.0
2016-12-20,40.0,24.0
2016-12-21,77.0,37.0
2016-12-22,93.0,53.0
2016-12-23,44.0,17.0
2016-12-24,50.0,15.0
2016-12-25,26.0,14.0
2016-12-26,32.0,7.0
2016-12-27,40.0,15.0
2016-12-28,15.0,6.0
2016-12-29,18.0,13.0
2016-12-30,16.0,5.0
2016-12-31,26.0,12.0
2017-01-01,22.0,13.0
2017-01-02,41.0,15.0
2017-01-03,17.0,9.0
2017-01-04,51.0,21.0
2017-01-05,150.0,50.0
2017-01-06,97.0,28.0
2017-01-07,47.0,15.0
2017-01-08,42.0,13.0
2017-01-09,90.0,19.0
2017-01-10,64.0,20.0
2017-01-11,42.0,12.0
2017-01-12,147.0,11.0
2017-01-13,65.0,12.0
2017-01-14,38.0,15.0
2017-01-15,76.0,14.0
2017-01-16,109.0,32.0
2017-01-17,91.0,19.0
2017-01-18,42.0,17.0
2017-01-19,31.0,14.0
2017-01-20,45.0,18.0
2017-01-21,45.0,27.0
2017-01-22,40.0,18.0
2017-01-23,67.0,28.0
2017-01-24,43.0,24.0
2017-01-25,40.0,22.0
2017-01-26,48.0,17.0
2017-01-27,236.0,36.0
2017-01-28,2348.0,211.0
2017-01-29,3351.0,199.0
2017-01-30,1307.0,108.0
2017-01-31,393.0,46.0
2017-02-01,173.0,42.0
2017-02-02,132.0,23.0
2017-02-03,63.0,14.0
2017-02-04,76.0,16.0
2017-02-05,85.0,20.0
2017-02-06,54.0,17.0
2017-02-07,45.0,20.0
2017-02-08,35.0,17.0
2017-02-09,114.0,16.0
